,Количество предсказанных Z-DNA,Количество участков с ZH-score > 500,Общая длина участков с ZH-score > 500
Ghana,295535.0,8503.0,91738.0
Infantum,277951.0,9051.0,98310.0
Donovani,283432.0,9151.0,99396.0
Orientalis,347095.0,9141.0,97978.0
Martiniquensis,241723.0,6741.0,72132.0
