,Длина генома,Количество экзонов,Длина покрытия экзонами,Доля покрытия экзонами
Ghana,35953538.0,8119.0,14915813.0,0.415
Infantum,32122061.0,8241.0,15607169.0,0.486
Donovani,32444968.0,8083.0,14824824.0,0.457
Orientalis,34194276.0,8158.0,15803203.0,0.462
Martiniquensis,32413670.0,7967.0,14791807.0,0.456
